tuslet,tuslet,ADJ,na
nedfelle,nedfelle,VERB,na
tidels,tidels,ADJ,na
forholdsreglene,forholdsregel,NOUN,Masc
høythengende,høythengende,ADJ,na
tusler,tusle,VERB,na
kosen,kos,NOUN,Masc
Forloveren,forlover,NOUN,Masc
koser,kose,VERB,na
koset,kose,VERB,na
flyr,fly,VERB,na
sjaman,sjaman,NOUN,Masc
Regelmessig,regelmessig,ADJ,na
julestjernen,julestjerne,NOUN,Masc
julestjerner,julestjerne,NOUN,Masc
kristne,kristne,VERB,na
etterprøver,etterprøve,VERB,na
STAMGJEST,stamgjest,NOUN,Masc
Solformørkelsen,solformørkelse,NOUN,Masc
menneskerettene,menneskerett,NOUN,Masc
Sykdomsutbruddet,sykdomsutbrudd,NOUN,Neuter
Trippel,trippel,NOUN,Masc
arkeologene,arkeolog,NOUN,Masc
irrelevante,irrelevant,ADJ,na
Tripper,trippe,VERB,na
Tredelingen,tredeling,NOUN,Fem
sanerer,sanere,VERB,na
saneres,sanere,VERB,na
Netthandelen,netthandel,NOUN,Masc
ostehøvelen,ostehøvel,NOUN,Masc
Tykk,tykk,ADJ,na
etterprøves,etterprøve,VERB,na
nyårskvelden,nyttårskveld,NOUN,Masc
Tynt,tyne,VERB,na
Fremmedartslista,fremmedartsliste,NOUN,Masc
uprøvd,uprøvd,ADJ,na
middagsselskap,middagsselskap,NOUN,Neuter
barselkvinnene,barselkvinne,NOUN,Masc
Tynn,tynn,ADJ,na
Villeste,vill,ADJ,na
byggmestere,byggmester,NOUN,Masc
Julebord,julebord,NOUN,Neuter
bykommune,bykommune,NOUN,Masc
opplag,opplag,NOUN,Neuter
senskade,senskade,NOUN,Masc
posent,posen,ADJ,na
kortstokk,kortstokk,NOUN,Masc
tragikomisk,tragikomisk,ADJ,na
grøntarealer,grøntareal,NOUN,Neuter
Type,type,VERB,na
posene,pose,NOUN,Masc
Diabetes,diabetes,NOUN,Masc
etterfølger,etterfølger,NOUN,Masc
etterfølges,etterfølge,VERB,na
Stoff,stoff,NOUN,Neuter
