respektert,respektert,0.8524590163934426
stimulere,stimulere,0.9174311926605505
protestaksjon,protestaksjon,0.8888888888888888
albanere,albanarar,1.0
utøya-fondet,utøya-fondet,1.0
flekkerøya,flekkerøya,1.0
suzanne,suzanne,1.0
kystpartiet,kystpartiet,1.0
skattekort,skattekort,0.9130434782608695
målgivende,målgivande,0.9375
floyd-saken,floyd-saka,1.0
grunnlag,grunnlag,0.9643337819650067
gisken,armand,0.6666666666666666
filmen,filmen,0.9642301710730948
sjusifret,eit,1.0
giskes,giskes,0.8064516129032258
palme,palme,1.0
helikoptertypen,helikoptertypen,0.92
småpakker,småpakkar,0.875
yielden,yielden,1.0
palma,palma,1.0
landslagsdebuten,landslagsdebuten,1.0
filmer,filmar,0.9425287356321839
filmes,filma,0.7142857142857143
filmet,filma,0.9781021897810219
vesllie,vesllie,1.0
søskenbarn,søskenbarn,0.7
aluminiumsprisen,aluminiumsprisen,1.0
afghanistankomiteen,afghanistankomiteen,1.0
astana-laget,astana-laget,1.0
befolkningsfond,fns,1.0
aluminiumspriser,aluminiumsprisar,1.0
dyretragedie,dyretragedie,1.0
--,--,0.984251968503937
kondolanse,kondolanse,0.6
fukushima-anlegget,fukushima-anlegget,1.0
-c,-c,1.0
skattesmell,skattesmell,0.9473684210526315
tannproblemer,tannproblem,1.0
medaljeseilasen,medaljeseglinga,0.9375
fritidsutstyr,fritidsutstyr,1.0
nederland,nederland,0.992772667542707
konsesjonssystemet,konsesjonssystemet,1.0
ekvator,ekvator,1.0
treer,trear,0.9245283018867925
treet,treet,0.9294117647058824
informasjonsbehovet,informasjonsbehovet,1.0
utbytte,utbytte,0.7751479289940828
muammar,muammar,1.0
svart-hvitt,svart-kvitt,0.8571428571428571
gressbrann,grasbrann,0.9285714285714286
treningskampen,treningskampen,1.0
treningskamper,treningskampar,0.9436619718309859
treff,treff,0.967741935483871
kneoperasjon,kneoperasjon,0.9411764705882353
tregt,tregt,0.782051282051282
studentboliger,studentbustader,0.9393939393939394
trege,trege,0.59375
schizofren,schizofren,1.0
viralt,viralt,1.0
fløistad,fløistad,1.0
dumba,dumba,1.0
lesvos,lesvos,0.7901234567901234
korda,korda,1.0
pfizers,pfizers,0.9420289855072463
folkelige,folkelege,0.967741935483871
foreldreløse,foreldrelause,0.9690721649484536
koret,koret,0.6923076923076923
tredobling,tredobling,0.9605263157894737
koren,koren,1.0
stortap,stortap,0.9333333333333333
korea,korea,1.0
dørene,dørene,1.0
korfu,korfu,1.0
voldtekter,valdtekter,0.9785714285714285
pfizer-,pfizer-,1.0
pamela,pamela,1.0
voldtekten,valdtekta,0.9655172413793104
grunnlov,grunnlov,0.8155339805825242
risøy,risøy,1.0
aronia,aronia,1.0
risør,risør,1.0
dumbo,jet,1.0
elsparkesyklist,elsparkesyklist,1.0
oppnevne,utnemne,0.896551724137931
tredd,tredd,0.8571428571428571
trend,trend,0.9492753623188406
trene,trene,0.9708939708939709
fn-hovedkvarteret,fn-hovudkvarteret,1.0
bæringen,bæringen,0.8
sjangere,sjangrar,1.0
stedsnavn,stadnamn,1.0
opprullingen,opprullinga,1.0
